City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,dakhla,23.6848,-15.958,24.01,69,0,7.2,EH,1686337523
337,vorkuta,67.5,64.0,7.12,51,100,5.18,RU,1686337707
338,idri,27.5,13.2667,32.21,21,6,2.91,LY,1686337707
339,chela,34.069,104.4619,10.27,73,100,2.18,CN,1686337708
340,male,4.1748,73.5089,28.97,84,75,3.6,MV,1686337332
341,tanah merah,5.8,102.15,23.95,98,100,0.89,MY,1686337708
342,pyetrykaw,52.1289,28.4921,14.91,95,97,2.62,BY,1686337708
343,holualoa,19.6228,-155.9522,24.91,83,40,3.09,US,1686337608
344,kolokani,13.5728,-8.0339,36.7,18,0,1.73,ML,1686337708
345,rundu,-17.9333,19.7667,19.64,27,0,1.35,NA,1686337709
346,mount isa,-20.7333,139.5,12.87,41,5,3.6,AU,1686337709
347,jincheng,35.5022,112.8328,23.03,28,47,1.92,CN,1686337709
348,new norfolk,-42.7826,147.0587,10.51,75,51,4.06,AU,1686337709
349,leava,-14.3,-178.1667,27.28,76,4,3.52,WF,1686337710
350,fale old settlement,-9.3852,-171.2468,28.0,81,22,5.89,TK,1686337710
351,klyuchi,52.2667,79.1667,17.71,92,100,5.39,RU,1686337521
352,zandvoort,52.3749,4.5341,27.19,44,0,4.12,NL,1686337516
353,boyolangu,-8.1181,111.8935,23.67,90,81,2.13,ID,1686337710
354,buldana,20.5333,76.1833,29.73,51,3,9.35,IN,1686337150
355,imbituba,-28.24,-48.6703,26.03,60,5,1.64,BR,1686337710
356,rabo de peixe,37.8,-25.5833,18.73,77,40,4.12,PT,1686337711
357,guerrero negro,27.9769,-114.0611,19.92,61,6,7.65,MX,1686337711
358,bridgewater,44.3835,-64.5155,16.73,69,46,2.24,CA,1686337711
359,saint-philippe,-21.3585,55.7679,22.77,81,38,5.15,RE,1686337711
360,kasongo-lunda,-6.4667,16.8167,23.08,86,100,1.18,CD,1686337711
361,loango,-4.6719,11.8312,23.11,88,100,3.3,CG,1686337712
362,pohrebyshche,49.4864,29.2636,17.52,69,100,2.44,UA,1686337712
363,muroto-misakicho,33.2833,134.15,21.48,86,100,1.54,JP,1686337712
